# meta rows=15;snapshot_id=snap-1777030546985;window=1d
agent_id,return_pct,annualized,sharpe,max_drawdown,win_rate,equity,rank,rank_delta
agt-001,0.017278368619209065,6.306604546011308,0.11190129769094662,0.0378249523137179,0.44308434827991205,101727.8368619209,1,
agt-004,0.01626339561556553,5.9361393996814185,0.2774113277359894,0.13246222974808233,0.8489648547808291,101626.33956155655,2,
agt-014,0.013518690862937244,4.9343221649720945,0.05760041052595782,0.035583332293221775,0.7921074592600704,101351.86908629372,3,
agt-007,0.008953890420966275,3.26817000365269,0.09512742964343986,0.27280592979247226,0.3309186560193986,100895.38904209663,4,
agt-002,0.008545221568388408,3.119005872461769,0.13303647136460897,0.279196181680211,0.8354705461554826,100854.52215683884,5,
agt-006,0.008473150383925472,3.0926998901327973,0.04633333603326023,0.27599702486190697,0.7702531897919744,100847.31503839255,6,
agt-005,0.007717286513025167,2.816809577254186,0.025803154134385314,0.037966839991839606,0.7198369022941705,100771.7286513025,7,
agt-000,0.004879605954667081,1.7810561734534847,0.04418458709324697,0.20745168444052675,0.858660882308321,100487.96059546672,8,
agt-011,0.004864998985867294,1.7757246298415623,0.06903127587650217,0.10881897873262614,0.5954010070909115,100486.49989858673,9,
agt-013,0.004665963851688449,1.703076805866284,0.019091497637705124,0.09966448972221639,0.8660046521422979,100466.59638516884,10,
agt-012,0.0018400840612315605,0.6716306823495196,0.013710903786365728,0.1332143073326651,0.5356083780461104,100184.00840612316,11,
agt-010,0.00048148712088493586,0.1757427991230016,0.0044481469197812035,0.08141475044621692,0.6609511481921636,100048.14871208848,12,
agt-008,-5.232623385093949e-05,-0.019099075355592913,-0.0002457562381569102,0.055253506566324904,0.8447779178832031,99994.7673766149,13,
agt-003,-0.0016865674937056564,-0.6155971352025645,-0.0064663355691603076,0.019992269341406365,0.39907861846948345,99831.34325062943,14,
agt-009,-0.0027282042358363146,-0.9957945460802549,-0.01083433103461171,0.2594631937768118,0.89776986141065,99727.17957641637,15,
